Title,Company,Location,Summary,Date
"Senior Manager, Data Architect",Michael Page logo,Bahrain,"A Senior Manager, Data Architect position is available in Bahrain, focusing on data architecture strategy and oversight for a leading investment firm.",20 days ago
Senior Data Associate (German Speaker) - 100% Onsite Role,Amazon MENA logo,Amman · Jordan,Seeking a Senior Data Associate in Amman. Responsibilities include data labeling and quality analysis. Requires C1+ German fluency and strong analytical skills. Competitive benefits offered.,21 days ago
Data Analyst,Miraaya.com logo,Baghdad · Iraq,"Seeking a Data Analyst in Baghdad to collect, analyze, and visualize data for strategic insights. Requires strong analytical skills and proficiency in SQL.",30+ days ago
Business Intelligence Analyst,RTC1 Recruitment Services logo,Dubai · UAE,"Design, develop, and maintain interactive dashboards and reports using Power BI. Gather and analyze business requirements to transform…",30+ days ago
Director of Data Science,Michael Page logo,UAE,"Director of Data Science position available in UAE, focusing on strategy and implementation of data solutions. Requires 8+ years experience, benefits included.",20 days ago
Data Engineer - IT,Kinetic Business Solutions logo,Dubai · UAE,A reputable and well-established Technology company is actively recruiting a Data Engineer for their team in Abu Dhabi. Please…,30+ days ago
Sr Data Scientist,PayPal logo,India,The Company PayPal has been revolutionizing commerce globally for more than 25 years. Creating innovative experiences that make moving…,12 hours ago
Data Scientist Intern [F/M/X],Mantu logo,Tunis · Tunisia,You will join our Data Science team as an intern and contribute to impactful projects using state-of-the-art technologies.This internship…,12 hours ago
Sr Data Scientist – Veeva Vault,Amgen Inc logo,India,"Career Category Information Systems Job Description Join Amgen’s Mission of Serving Patients At Amgen, if you feel like you’re part…",12 hours ago
Actuarial Data Scientist III,Expedia Group logo,India,"Expedia Group brands power global travel for everyone, everywhere. We design cutting-edge tech to make travel smoother and more memorable,…",12 hours ago
Principal Data Scientist,Amgen Inc logo,India,Career Category Information Systems Job Description ABOUT AMGEN Amgen harnesses the best of biology and technology to fight the world’s…,Yesterday
Lead Data Scientist,S&P Global logo,India,"About the Role: Grade Level (for internal use): 11 The Team : As a member of the EDO, Collection Platforms & AI – Cognitive Engineering…",Yesterday
Senior Data Scientist,S&P Global logo,India,About the Role: Grade Level (for internal use): 10 The Team: The Capital IQ Solutions Data Science team supports the S&P Capital…,Yesterday
Data Scientist,Security and Safety Things logo,Bengaluru · India,"Company Description Bosch Global Software Technologies Private Limited is a 100% owned subsidiary of Robert Bosch GmbH, one of the…",Yesterday
Data Science Analyst,Novartis logo,India,"Job Description Summary About the Role: Within Insights and Commercial Solutions, below are the key service groups:  Marketing Effectiveness…",3 days ago
C12-AVP-Data Scientist-Fraud Modeling,Citi bank logo,India,"The Specialized Analytics Sr Anlst is a seasoned professional role. Applies in-depth disciplinary knowledge, contributing to the development…",3 days ago
Data Science Analyst,International Schools Partnership logo,Bengaluru · India,"Description Position at ISP Central ISP Data Science - Analyst Role Profile Location: Bangalore, India Purpose of Role We are seeking…",4 days ago
"Data Scientist Associate Senior - AI/ML, Python",JP Morgan Chase logo,India,We have an exciting opportunity for you to leverage AI/ML to deliver actionable insights across the Card business. As a Data Science…,4 days ago
Data Scientist with Salesforce Einstein,"SUSE, Inc logo",India,"innovate everywhere – from thedatacenter to the cloud, to ... diversity and connectivity without borders.Data Scientistwith Salesforce Einstein Job Description ... The CFLData...",4 days ago
Data Scientist,Avantor logo,India,") items. THE OPPORTUNITY: As aData Scientist, you will leverage advanced statistical ... with stakeholders to ensure thedatastrategy aligns with business objectives ...",5 days ago
Data Scientist - Pune,Uipath logo,Pune · India,Life at UiPath The people at UiPath believe in the transformative power of automation to change how the world works. We’re committed…,5 days ago
"Data Scientist II, Product Analytics",Expedia Group logo,India,"more open world. Join us.Data ScientistII – Analytics At Expedia Group ... ’re looking for an exceptionalData ScientistII, Analytics to join our ...",5 days ago
Senior Data Scientist,Avantor logo,India,". THE OPPORTUNITY: As a SeniorData Scientist, you will leverage advanced statistical ... with stakeholders to ensure thedatastrategy aligns with business objectives ...",5 days ago
Principal Data Scientist,FANATICS INC logo,Hyderabad · Pakistan,Key Responsibilities: Lead Inventory and Pricing Optimization Initiatives: Design and implement predictive and prescriptive models…,5 days ago
Expert People Analytics (Data Scientist) - Islamabad,JAZZ logo,Islamabad · Pakistan,"What is Expert People Analytics (Data Scientist)? The role is a specialized ... HR, focused on using advanceddatascience techniques to solve complex ...",5 days ago
Associate Data Scientist,Boeing logo,India,AssociateData ScientistCompany: Boeing India Private ... is currently looking for AssociateData Scientistto join their team in ... Position Responsibilities: Provide solutions fordata,6 days ago
Senior IT Architect (Senior Data Scientist),Medtronic logo,India,this role as a SeniorData Scientistin the Advance Analytics team ... identify opportunities for leveraging companydatato drive business solutions. This ...,6 days ago
Data Scientist Lead,Ghobash Group logo,Cairo · Egypt,"Company Description Code 81 is established in 2023, CODE81 operates autonomously from within the Technology Cluster of Ghobash Group…",6 days ago
DATA SCIENTIST,Duncan & Ross logo,Abu Dhabi · UAE,"About the jobDATA SCIENTISTKEY RESPONSIBILITIES Analyse and interpret complexdatasets to ... algorithms. Design, test, and optimizedatascience workflows in Azure Databricks",7 days ago
Senior Data Scientist,Confiz logo,Islamabad · Pakistan,"are seeking a highly skilledData Scientistwith 3-5 years of ... experience to drivedata-driven insights, develop predictive ... models, and build scalabledatapreparation...",7 days ago
Data Scientist,"Michelin North America, Inc logo",India,"Data Scientist- - - - - - - - - - - - KEY EXPECTED ACHIEVEMENTS • The business ... bases, advantages and drawbacks • Thedata, its relevance and its source ...",7 days ago
Data Scientist,S&P Global logo,India,About the Role: Grade Level (for internal use): 09 Job Description: Data Scientist Location: Bengaluru The Team: The Automotive Insights…,7 days ago
"Data Scientist - NLP, Business Analytics, Predictive Analytics, and LLMs",VIZIO.AI logo,Istanbul · Türkiye,"Data Scientist - NLP, Business Analytics, Predictive Analytics, and LLMs Welcome to Vizio-AI, where innovation meets limitless possibilities!…",7 days ago
Data Scientist,LSEG logo,India,"The Commodities Content team collects, manages, and supplies content of various asset classes like Metals, Oils, Agriculture, Power,…",7 days ago
Team Lead Data Scientist,swatX Solutions logo,Saudi Arabia,"Job Summary: The Team Lead Data Scientist will oversee the data science team, leading initiatives to develop and implement advanced…",8 days ago
Senior Data Scientist,Motorola Solutions logo,India,"are looking for a SeniorData Scientistwho will also serve as ... apply various statistical methods fordataanalysis, EDA, hypothesis testing, ...",11 days ago
"Data Scientist II, JWO",ADCI - Karnataka logo,Bengaluru · India,"*This position is located in Bengaluru As part of the AWS Solutions organization, we have a vision to provide business applications,…",11 days ago
Data Scientist,Zurich logo,Manama · Bahrain,"Job Summary Zurich Middle East is part of Zurich Insurance Group, one of the world’s largest and most experienced insurers. Our mission…",11 days ago
Data Scientist (Saudi nationals),VISA logo,Riyadh · Saudi Arabia,"Company Description Visa is a world leader in payments and technology, with over 259 billion payments transactions flowing safely…",11 days ago
"Data Scientist -UAE National , AWS Generative AI Innovation Center",Amazon Web Services EMEA Dubai FZ Branch - Q29 logo,UAE,"is a team of strategists,datascientists, engineers, and solution architects ... -center). We’re looking forDataScientists to use generative AI ...",12 days ago
Data Scientist - AI and Advanced Analytics | Real Estate | AFET,Al Futtaim logo,UAE,"Job Requisition ID: 170233 Established in the 1930s as a trading business, Al-Futtaim Group today is one of the most diversified…",12 days ago
Data Scientist - AI and Advanced Analytics | Real Estate | AFET,Afuturewithus logo,UAE,# Data Scientist - AI and Advanced Analytics | Real Estate | AFET Location: AE Job Requisition ID: 170233 Established in the 1930s…,12 days ago
Data Science Specialist - OptimusAI (Mining/Metal/Chemicals),McKinsey & Company logo,India,"QUALIFICATIONS Bachelor's degree in a discipline such as: Computer Science, Applied Statistics, Mathematics, Analytics, Engineering,…",13 days ago
Data Scientist - 6 months contract,Müller`s Solutions logo,Saudi Arabia,"Solutions is seeking a skilledData Scientistfor a 6-month contract ... machine learning, statistical analysis, anddatamodeling to extract meaningful insights ... from complexdata...",13 days ago
Data Scientist (Credit Risk),Shahry logo,Cairo · Egypt,"In this role you will design and refine credit-risk scorecards that power TRU APP’s instant lending decisions, build automated monitoring…",14 days ago
Data Scientist 2,PayPal logo,Bengaluru · India,The Company PayPal has been revolutionizing commerce globally for more than 25 years. Creating innovative experiences that make moving…,14 days ago
Senior Data Scientist,PayPal logo,Bengaluru · India,The Company PayPal has been revolutionizing commerce globally for more than 25 years. Creating innovative experiences that make moving…,14 days ago
Data Science Engineer 3,Adobe logo,Bengaluru · India,Our Company Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global…,14 days ago
Senior Data Scientist (VOIS),Vodafone logo,Cairo · Egypt,Role Purpose: The role ofData Scientistis to Design & Develop ... Corporate accounts to transform rawdatainto actionable intelligence using predictive ...,14 days ago
Data Scientist,Atribs Metscon logo,Abu Dhabi · UAE,Responsibilities: Analyze and interpret complex data to provide actionable insights. Develop and implement machine learning models…,15 days ago
"Data Scientist, Amazon Payments (Level 5), Amazon",ADCI - Karnataka logo,Bengaluru · India,"we are looking for aData Scientistspecifically for supporting Japan Payment ... , we are looking for aData Scientistwho will be responsible for ... analysis on large volumes ofdata...",15 days ago
Senior Data Scientist - AWS Professional Services,AWS ProServe IN - Maharashtra logo,Mumbai · India,"by using massive amounts ofdatato develop Machine Learning (ML ... technology to large volumes ofdataand against a wide spectrum ... where we have an openData Scientistposition,...",16 days ago
Data Scientist - AWS Professional Services,AWS ProServe IN - Karnataka logo,Bengaluru · India,"by using massive amounts ofdatato develop Machine Learning (ML ... technology to large volumes ofdataand against a wide spectrum ... where we have an openData Scientistposition,...",16 days ago
"Data Scientist, ROW Supply Chain Analytics, Research and Product",ADCI - Karnataka logo,Bengaluru · India,"is looking for a talentedData Scientistwith leadership skills, proven ability ... will need to have strongdatamining and modeling skills and ... structures needed to analyzedata,...",18 days ago
Lead Data Scientist,Mastercard logo,Pune · India,". Title and Summary LeadDataScientistLeadData ScientistOverview We are the global ... global customer base. Centered ondata-driven technologies and innovation, these ...",18 days ago
Data Scientist 1,PayPal logo,Bengaluru · India,"- We are looking for SeniorData Scientistwith experience of managing large ... . Day-to-day duties includedataanalysis, monitoring and forecasting, creating ...",19 days ago
Senior Data Scientist,Takeda Pharmaceutical Company Limited logo,India,". About the role: • The SeniorData Scientistis responsible for performing complex ...dataanalysis to support business operations, ...",19 days ago
Senior Statistical Data Scientist,Pfizer Inc logo,India,"An Individual Contributor role Productive h ands on programming, supporting deliverables in the study/project/portfolio/standards…",20 days ago
Lead Data Scientist-Stores,"Target Brands, Inc logo",India,"rely on. EveryScientiston Target’sDataSciences team can expect ... modelling anddatascience, software/product development ... knowledge. Team Overview: Our StoresData...",20 days ago
"Data Scientist, Ad Fraud Detection, Traffic Quality ML",ADCI - Karnataka logo,Bengaluru · India,"Advertising at Amazon is a fast-growing multi-billion dollar business that spans across desktop, mobile and connected devices; encompasses…",20 days ago
Data Scientist - Summer Internship Program 2025,Tagaddod logo,Egypt,"Tagaddod is thrilled to announce our Summer Internship Program for 2025, and we are seeking a passionate and drivenData ScientistIntern to join our team. This role will provide you with the opportunity",21 days ago
Data Scientist,Kyndryl Inc logo,India,"communities. The Role As aData Scientistat Kyndryl you are the ... converting this knowledge into adataproblem. You’ll collect and ... exploredata, seeking underlying patterns...",21 days ago
Data Scientist,Alstom logo,Bengaluru · India,"At Alstom, we understand transport networks and what moves people. From high-speed trains, metros, monorails, and trams, to turnkey…",21 days ago
Data Scientist,BARCLAYS logo,Pune · India,Job Description Purpose of the role To use innovative data analytics and machine learning techniques to extract valuable insights…,21 days ago
Data Scientist,PayPal logo,Bengaluru · India,The Company PayPal has been revolutionizing commerce globally for more than 25 years. Creating innovative experiences that make moving…,22 days ago
"Data Scientist II, Regulatory, Intelligence, Safety and Compliance (RISC)",ADCI - Karnataka logo,Bengaluru · India,"About Amazon Regulatory Intelligence, Safety, and Compliance (RISC). Amazon RISC’s vision is to make Amazon the Earth’s most trusted…",22 days ago
"Data Scientist II, Regulatory Intelligence, Safety, and Compliance (RISC)",ADCI - Karnataka logo,Bengaluru · India,"We are seeking an exceptional Data Scientist to join a team of experts in the field of machine learning, and work together to tackle…",22 days ago
Data Scientist - Cybersecurity,VISA logo,Bengaluru · India,"Company Description Visa is a world leader in payments and technology, with over 259 billion payments transactions flowing safely…",26 days ago
"Data Scientist, Associate",Infor logo,Tunis · Tunisia,"## Data Scientist, Associate Experience Level ASSOCIATE ### Description & Requirements Infor Decision Analytics and Science (IDeAS)…",26 days ago
Sr. Data Scientist,LOGICMONITOR INC logo,Pune · India,"About Us: &nbsp;&nbsp; We love going to work and think you should too. Our team is dedicated to trust, customer obsession,…",26 days ago
Lead Data Scientist (USD Salary),FlapKap logo,Egypt,are looking for a LeadData Scientistto take charge of our ...datastrategy and lead high-impact ... vision for how we usedatato power smarter decisions and ...,27 days ago
Senior Data Scientist,Mastercard logo,India,"Our Purpose Mastercard powers economies and empowers people in 200+ countries and territories worldwide. Together with our customers,…",27 days ago
"Data Scientist II, Payment Risk Machine Learning",ADCI HYD 20 SEZ logo,India,"organization is looking for adata scientistfor its Risk Mining Analytics ... debt across Amazon. As adata scientistin risk mining, you will ... a breadth of tools,datasources,...",27 days ago
Data Scientist,HR WAYS logo,Lahore · Pakistan,About the job Data Scientist We're hiring a Data Scientist - Lahore About Us The company was founded in 2017 and is a property management…,27 days ago
Senior Data Scientist – Generative AI,Fractal Analytics Inc logo,Delhi · India,focus to the business. SeniorData Scientist– Generative AI Role Overview: We ... looking for a passionate SeniorData Scientist– Generative AI who thrives at ...,30+ days ago
Lead Data Scientist,Signify Holding logo,India,"Job TitleLead Data ScientistJob DescriptionJob Description About Signify ​ Through bold discovery and cutting-edge innovation, we…",30+ days ago
Data Scientist 3,PayPal logo,India,"the role: Apply strategic anddataanalytics skills to solve problems ... way to impact As aData Scientist3, you will apply your ... need to bring? Solid technical /data-mining...",30+ days ago
I&D Data Scientist,Antal logo,Cairo · Egypt,Develop and implement machine learning models to address specific business challenges. Collaborate with cross-functional teams to…,30+ days ago
I&D Data Scientist,Antal logo,Egypt,Develop and implement machine learning models to address specific business challenges. Collaborate with cross-functional teams to…,30+ days ago
"Associate Data Scientist , Global GBS",Kraft Heinz logo,India,"Summary: We're seeking aData Scientistto join our agile, cross ... a key contributor. As aData Scientist, you will develop and implement ...data-driven solutions to drive...",30+ days ago
Data Scientist,Udemy logo,Ankara · Türkiye,Join Udemy. Help define the future of learning. Udemy is an AI-powered reskilling platform built to help people and teams grow. It’s…,30+ days ago
Sr. Staff Data Scientist - Marketing,Databricks logo,India,MKTQ326R8 At Databricks our mission is to democratize data and AI. We are passionate about enabling data teams to solve the world's…,30+ days ago
Senior Commercial Data Scientist,Exxon Mobil Corporation logo,Bengaluru · India,"About us At ExxonMobil, our vision is to lead in energy innovations that advance modern living and a net-zero future. As one of the…",30+ days ago
Lead Data Scientist,Nielsen Consumer LLC logo,Vadodara · India,Job Description Join a dynamic and diverse global team dedicated to developing innovative solutions that uncover the complete consumer…,30+ days ago
Data Scientist 1,PayPal logo,Bengaluru · India,"the role: Apply strategic anddataanalytics skills to solve problems ... way to impact As aData Scientist, you will apply your strategic ... need to bring Solid technical /data-mining...",30+ days ago
Senior Data Scientist - GenAI & Agentic Systems,CodeNinja Inc logo,Pakistan,We are looking for a SeniorData Scientistspecialized in Generative AI (GenAI) to develop cutting-edge AI-driven solutions. The role involves leveraging GenAI technologies within cloud-native,30+ days ago
Senior Data Scientist,Creative Chaos logo,Pakistan,"looking for a talented SeniorData Scientistto join our innovative team ... will possess extensive experience indataanalysis, machine learning, and statistical ...",30+ days ago
Manager Data Scientist,Pfizer Inc logo,India,ROLE SUMMARY Leverage technical AI/ML/data science to guide critical decision-making processes in support of scientific and drug development…,30+ days ago
Payments - Data Scientist Associate,JP Morgan Chase logo,India,Are you looking for an exciting opportunity to join a dynamic and growing team in a fast paced and challenging area? This is a unique…,30+ days ago
Foreseer AI- Data Scientist III,S&P Global logo,India,): 10 The Role: Foreseer AI –Data ScientistIII The Team: The Foreseer ... compliance standards to protect sensitivedataand ensure adherence to industry ...,30+ days ago
Gen AI Data Scientist,Kyndryl Inc logo,India,"Who We Are At Kyndryl, we design, build, manage and modernize the mission-critical technology systems that the world depends on every…",30+ days ago
Senior Data Scientist,dNb Human Resources and Software Consulting logo,Türkiye,Danışmanlığını yapmış olduğumuz Merkezi Amerika Birleşik Devletleri'nde bulunan ve dnyanın drt bir yanında ofisleri olan teknoloji…,30+ days ago
Data Scientist,the ENTERTAINER logo,Dubai · UAE,strategic and hands-onData Scientistto leaddatainnovation and decision science ... Digital Reach monetization. As aData Scientistyou will Strategic Impact & ...,30+ days ago
Senior AI/Data Science Engineer,Medtronic logo,India,"At Medtronic you can begin a life-long career of exploration and innovation, while helping champion healthcare access and equity for…",30+ days ago
Principal Data Scientist,Redhat logo,India,About the Job The Digital workforce team is part of Red Hat’s Data and AI organization. The team is focused on building and delivering…,30+ days ago
Senior Principal Data Scientist,Redhat logo,India,About the Job The Digital workforce team is part of Red Hat’s Data and AI organization. The team is focused on building and delivering…,30+ days ago
Data Scientist,yassir.com logo,Algiers · Algeria,"## Data ScientistAlgiers, Algeria Product &Tech – Data/AI/ML / Full-time / Hybrid ... while infusing social values. Ledata scientistanalyse des masses de données ...",30+ days ago
Data Scientist,Kraft Heinz logo,India,"Job Description Job Title: Data Scientist – Operations Location: Kraft Heinz Global Capability Center (GCC), Ahmedabad About Kraft…",30+ days ago
Principal Data Scientist,"Morningstar, Inc logo",India,As an expectation a fitting candidate must have/be: Ability to analyze business problem and cut through the data challenges. Ability…,30+ days ago
"Data Scientist - QuantumBlack, AI by McKinsey",McKinsey & Company logo,Saudi Arabia,"QUALIFICATIONS Undergraduate degree in mathematics, statistics, physics, engineering; master's degree is a plus 3+ years of professional…",30+ days ago
"Data Scientist - QuantumBlack, AI by McKinsey",McKinsey & Company logo,Egypt,"QUALIFICATIONS Undergraduate degree in mathematics, statistics, physics, engineering; master's degree is a plus 3+ years of professional…",30+ days ago
"Senior Data Scientist, Amazon Pay",ADCI - Karnataka logo,Bengaluru · India,Amazon Pay Data and Analytics team is looking for an experienced Senior Data Scientist with excellent ML/science technical skills.…,30+ days ago
"Data Scientist, Digital Acceleration",ADCI MAA 15 SEZ logo,Chennai · India,Are you excited about the digital media revolution and passionate about designing and delivering advanced analytics that directly…,30+ days ago
Principal Data Scientist,Fractal Analytics Inc logo,Delhi · India,"Description As an NLP LeadData Scientist, you will be building solutions ... analyzing and transforming natural languagedatainto useful outcomes using NLP ...",30+ days ago
Data Scientist/Senior Data Scientist_ Gen AI (5 to 10 Years),Fractal Analytics Inc logo,Delhi · India,"the business. Job Title:Data Scientist/SeniorData ScientistLocation: Bangalore/Mumbai/Gurgaon/Chennai ... , LLM finetuning using PEFT, RLHF,dataannotation workflow, and GPU...",30+ days ago
Data Scientist/Senior Data Scientist - Gen AI (3 to 5 Years),Fractal Analytics Inc logo,Delhi · India,"the business. Job Title:Data Scientist/SeniorData ScientistLocation: Bangalore/Mumbai/Gurgaon/Chennai ... , LLM finetuning using PEFT, RLHF,dataannotation workflow, and GPU...",30+ days ago
Senior Data Scientist,Fractal Analytics Inc logo,Delhi · India,"the business. Job Title: SeniorData ScientistJob Location: Bangalore, Chennai and ... DS developers in collaborate/streamlinedatascience work with product, BA ...",30+ days ago
Lead Gen AI Data Scientist - GenAI,Fractal Analytics Inc logo,Chennai · India,It's fun to work in a company where people truly BELIEVE in what they are doing! We're committed to bringing passion and customer…,30+ days ago
Senior Data Scientist,"Michelin North America, Inc logo",India,are seeking a talented SeniorData Scientistof Dynamic Pricing with a ... rich database of millions ofdatapoints to build and maintain ... expected to mentor 1-2datascientists....,30+ days ago
Senior Data Scientist,"Morningstar, Inc logo",India,"Design & develop AI/ML solutions to be flexible, scalable & extensible. Build solutions that incorporates cognitive techniques…",30+ days ago
Manager - Data Scientist,"Michelin North America, Inc logo",India,Manager -Data Scientist- - - - - - - - - - - - Required Skills : 6+ years of ... with large datasets and performingdatapreprocessing on cloud platforms. Practical ...,30+ days ago
Sr AI/Data Science Engineer,Medtronic logo,India,"At Medtronic you can begin a life-long career of exploration and innovation, while helping champion healthcare access and equity for…",30+ days ago
SENIOR DATA SCIENTIST,Commercial International Bank logo,Giza · Cairo · Egypt,Job Description SENIORDATA SCIENTIST- (250000QQ) ## Description KEY ACCOUNTABILITIES ... coach for junior team members (DataScientists) 2. Manage and support ...,30+ days ago
DATA SCIENTIST,Commercial International Bank logo,Giza · Cairo · Egypt,Job DescriptionDATA SCIENTIST- (250000QP) ## Description JOB PURPOSE ... the bank by employing variousdatascience methodologies and machine learning ... techniques to providedata-driven,30+ days ago
"Data Scientist III, ROW AOP",Amazon Development Centre (India) Private Limited - S55 logo,India,"will work with Product Managers,DataEngineers,DataScientists, Research Scientists, Applied ... approaches to ensure high qualitydata/science products for our customers ...",30+ days ago
Senior Data Scientist,IsDB Group logo,Jeddah · Saudi Arabia,- SeniorData ScientistBusiness Unit President Complex Division Statistics &DataSolution Department ... Purpose Undertake advanced statistical anddatascience work. This...,30+ days ago
DATA SCIENTIST,Cibeg logo,Egypt,JOB PURPOSE To make the best use of the data within the bank by employing various data science methodologies and machine learning…,30+ days ago
SENIOR DATA SCIENTIST,Cibeg logo,Egypt,KEY ACCOUNTABILITIES Roles and Responsibilities 1. Act as a technical supervisor and coach for junior team members (Data Scientists)…,30+ days ago
58112P-Sr Data Scientist,Juniper Networks logo,India,"of domain experts, architects,datascientists,dataengineers, and MLOps professionals , ... impactful digital experience. Responsibilities ofData Scientistwithin the FoX...",30+ days ago
MDM Data Scientist,Amgen Inc logo,India,seeking an accomplished and visionaryData Scientist/ GenAI developer to join Amgen ... with knowledge of MDM (MasterDataManagement) Roles & Responsibilities: ...,30+ days ago
MDM Data Scientist,Amgen Inc logo,India,seeking an accomplished and visionaryData Scientist/ GenAI developer to join Amgen ... with knowledge of MDM (MasterDataManagement) Roles & Responsibilities: ...,30+ days ago
Senior Data Scientist,STARZPLAY logo,Lahore · Pakistan,"Senior Data Scientist, Marketing Analytics – Starzplay About the Role Join the Marketing Data Science team at a leading organization…",30+ days ago
Senior Data Scientist II,Chubb logo,Bengaluru · India,". Position Details: Job Title: SeniorData ScientistII Location: Bengaluru Employment Type ... . Own the entire process ofdatacollection, training, and deploying machine ...",30+ days ago
Lead Data Scientist,Chubb logo,Bengaluru · India,". Position Details: Job Title: LeadData ScientistII Location: Bengaluru Employment Type ... . Own the entire process ofdatacollection, training, and deploying machine ...",30+ days ago
Director Data Scientist - Analysis - Growth,Delivery Hero SE logo,Dubai · UAE,"Company Description Since launching in Kuwait in 2004, talabat, the leading on-demand food and Q-commerce app for everyday deliveries,…",30+ days ago
Data Scientist,Salla logo,Saudi Arabia,We are looking for aData Scientistto design and develop Machine ... rely on you to builddataproducts to extract valuable business ... skills are essential for interpretingdata.,30+ days ago
"Data Scientist (Artificial Intelligence, Machine Learning)",Franklin Templeton logo,India,"At Franklin Templeton, we’re driving our industry forward by developing new and innovative ways to help our clients achieve their…",30+ days ago
Data Scientist (AI) Engineer.,Talent 360 logo,Riyadh · Saudi Arabia,"are looking for a skilledData Scientistto join our team and ... ideal candidate has experience withdatamodeling, machine learning, and ...",30+ days ago
Data Scientist - III,Mara Labs Inc logo,India,"Job Title: Data Scientist - III Location: Bangalore (On-site; full-time) About Locus : At Locus , we are redefining logistics…",30+ days ago
"Data Scientist II, SAnDS",AWS India - Karnataka logo,Bengaluru · India,"AWS Sales, Marketing, and Global Services (SMGS) is responsible for driving revenue, adoption, and growth from the largest and fastest…",30+ days ago
"Data Scientist II - Analysis, Lifecycle",Delivery Hero SE logo,Dubai · UAE,"Company Description Since launching in Kuwait in 2004, talabat, the leading on-demand food and Q-commerce app for everyday deliveries,…",30+ days ago
Data Scientist 2,PayPal logo,Bengaluru · India,The Company PayPal has been revolutionizing commerce globally for more than 25 years. Creating innovative experiences that make moving…,30+ days ago
Senior Data Scientist - GenAI,Relanto logo,India,Job Title AI/ML EngineerLocation: Bangalore (Hybrid) Experience 3+ yearsAbout the Role:We are looking for an experienced AI/ML Engineer…,30+ days ago
Senior Data Scientist,Lean Technologies logo,Riyadh · Saudi Arabia,"About the job As a Senior Data Scientist, you will be a key part of Lean’s mission to delight our clients by providing insights based…",30+ days ago
Senior Data Scientist,Kraft Heinz logo,India,Job Description The Data Scientist – Operations will play a key role in transforming operational processes through advanced analytics…,30+ days ago
Data Scientist,Jobs for Humanity logo,Beirut · Lebanon,"Company Description Jobs for Humanity is partnering with jfhtestapr17test to build an inclusive and just employment ecosystem. Therefore,…",30+ days ago
Data Scientist II,ADSIPL - Karnataka logo,Bengaluru · India,"AWS Infrastructure Services owns the design, planning, delivery, and operation of all AWS global infrastructure. In other words, we’re…",30+ days ago
Data Scientist – Utilities (Transmission Focus),INTECH logo,Riyadh · Saudi Arabia,"Automation Intelligence is seeking aData Scientistwith a solid background in ... of the operational challenges anddataopportunities on transmission sites, and ...",30+ days ago
